node_id,timestamp_ms,conductividad,temp_agua,temp_ambiente,humedad,nivel_agua_cm,alerta,tipo_emergencia
nodo_chancay_01,0,367.5,16.1,16.4,75.3,119.6,false,0
nodo_chancay_01,60000,357.9,15.8,16.9,78.1,115.4,false,0
nodo_chancay_01,120000,369.7,15.7,16.2,79.6,119.4,false,0
nodo_chancay_01,180000,382.8,15.9,16.1,74.6,118.2,false,0
nodo_chancay_01,240000,356.5,16.0,16.6,77.6,124.0,false,0
nodo_chancay_01,300000,356.5,15.6,16.4,78.1,121.7,false,0
nodo_chancay_01,360000,383.7,15.7,16.7,75.5,111.0,false,0
nodo_chancay_01,420000,371.5,15.8,16.4,80.9,120.2,false,0
nodo_chancay_01,480000,353.0,15.4,16.2,78.1,116.6,false,0
nodo_chancay_01,540000,368.1,15.9,16.8,73.2,115.6,false,0
nodo_chancay_01,600000,353.0,16.1,16.9,75.8,113.1,false,0
nodo_chancay_01,660000,353.0,15.6,16.3,77.6,122.6,false,0
nodo_chancay_01,720000,363.6,15.7,17.3,80.8,123.0,false,0
nodo_chancay_01,780000,331.3,15.7,17.2,76.9,115.5,false,0
nodo_chancay_01,840000,334.1,16.0,17.5,75.9,123.4,false,0
nodo_chancay_01,900000,351.6,15.8,16.4,78.8,126.3,false,0
nodo_chancay_01,960000,344.8,15.7,16.5,74.3,119.4,false,0
nodo_chancay_01,1020000,364.7,15.9,16.3,72.0,117.3,false,0
nodo_chancay_01,1080000,346.4,16.0,16.7,77.1,119.8,false,0
nodo_chancay_01,1140000,338.8,15.8,16.0,73.9,123.5,false,0
nodo_chancay_01,1200000,382.0,15.9,16.4,83.1,123.9,false,0
nodo_chancay_01,1260000,356.6,15.7,16.8,75.8,119.9,false,0
nodo_chancay_01,1320000,361.0,15.3,16.1,77.1,117.2,false,0
nodo_chancay_01,1380000,338.6,15.9,16.3,73.1,120.7,false,0
nodo_chancay_01,1440000,351.8,15.6,16.6,78.8,119.7,false,0
nodo_chancay_01,1500000,361.7,15.4,16.3,74.9,120.4,false,0
nodo_chancay_01,1560000,342.7,15.3,16.2,74.6,118.8,false,0
nodo_chancay_01,1620000,365.6,15.5,16.7,74.7,120.6,false,0
nodo_chancay_01,1680000,351.0,15.6,16.4,71.1,114.4,false,0
nodo_chancay_01,1740000,355.6,15.7,16.5,74.2,121.1,false,0
nodo_chancay_01,1800000,351.0,15.6,16.1,76.6,123.4,false,0
nodo_chancay_01,1860000,387.8,15.8,16.1,70.4,119.4,false,0
