node_id,timestamp_ms,tds_ppm,ph,turbidez_ntu,temp_agua_c,temp_ambiente_c,nivel_m,alerta,estado_mapek
nodo_chancay_01,0,235.0,7.4,14.4,16.0,17.4,1.18,false,0
nodo_chancay_01,60000,228.6,7.49,7.4,15.3,16.8,1.22,false,0
nodo_chancay_01,120000,236.5,7.54,13.9,15.7,16.7,1.17,false,0
nodo_chancay_01,180000,245.2,7.38,11.9,15.8,17.0,1.16,false,0
nodo_chancay_01,240000,227.7,7.48,21.7,15.8,17.1,1.2,false,0
nodo_chancay_01,300000,227.7,7.49,17.8,15.8,16.4,1.18,false,0
nodo_chancay_01,360000,245.8,7.41,0.0,15.4,16.6,1.2,false,0
nodo_chancay_01,420000,237.7,7.59,15.3,15.8,16.8,1.19,false,0
nodo_chancay_01,480000,225.3,7.49,9.3,15.7,16.0,1.17,false,0
nodo_chancay_01,540000,235.4,7.33,7.7,15.7,17.0,1.22,false,0
nodo_chancay_01,600000,225.4,7.42,3.6,16.0,17.3,1.23,false,0
nodo_chancay_01,660000,225.3,7.48,19.4,15.8,16.3,1.18,false,0
nodo_chancay_01,720000,232.4,7.58,20.1,15.6,16.5,1.25,false,0
nodo_chancay_01,780000,210.9,7.45,7.5,15.8,16.5,1.25,false,0
nodo_chancay_01,840000,212.8,7.42,20.6,15.5,17.2,1.27,false,0
nodo_chancay_01,900000,224.4,7.52,25.5,15.9,16.7,1.19,false,0
nodo_chancay_01,960000,219.9,7.37,14.0,15.7,16.5,1.2,false,0
nodo_chancay_01,1020000,233.1,7.29,10.5,15.7,17.1,1.19,false,0
nodo_chancay_01,1080000,220.9,7.46,14.6,15.2,17.2,1.21,false,0
nodo_chancay_01,1140000,215.9,7.35,20.8,15.5,16.7,1.16,false,0
nodo_chancay_01,1200000,244.7,7.66,21.6,16.0,17.1,1.19,false,0
nodo_chancay_01,1260000,227.7,7.42,14.8,15.6,16.6,1.22,false,0
nodo_chancay_01,1320000,230.7,7.46,10.4,15.8,15.8,1.18,false,0
nodo_chancay_01,1380000,215.8,7.33,16.2,15.8,17.0,1.19,false,0
nodo_chancay_01,1440000,224.6,7.52,14.5,15.9,16.5,1.22,false,0
nodo_chancay_01,1500000,231.1,7.39,15.6,15.8,15.9,1.19,false,0
nodo_chancay_01,1560000,218.5,7.38,13.1,15.6,15.9,1.18,false,0
nodo_chancay_01,1620000,233.8,7.38,16.0,15.7,16.3,1.22,false,0
nodo_chancay_01,1680000,224.0,7.26,5.7,15.5,16.3,1.2,false,0
nodo_chancay_01,1740000,227.1,7.36,16.8,15.6,16.6,1.21,false,0
nodo_chancay_01,1800000,224.0,7.44,20.7,15.2,16.5,1.18,false,0
nodo_chancay_01,1860000,248.5,7.24,14.0,15.3,16.8,1.18,false,0
nodo_chancay_01,1920000,229.9,7.49,15.6,15.5,16.8,1.22,false,0
nodo_chancay_01,1980000,219.4,7.36,7.0,15.6,16.9,1.24,false,0
nodo_chancay_01,2040000,238.2,7.41,17.6,15.6,16.4,1.18,false,0
nodo_chancay_01,2100000,217.8,7.17,19.6,15.5,15.9,1.22,false,0
nodo_chancay_01,2160000,232.1,7.41,23.2,15.2,16.1,1.22,false,0
nodo_chancay_01,2220000,210.4,7.29,3.1,15.4,15.7,1.22,false,0
nodo_chancay_01,2280000,216.7,7.35,17.6,15.7,15.7,1.2,false,0
nodo_chancay_01,2340000,232.0,7.23,6.3,15.9,16.2,1.23,false,0
nodo_chancay_01,2400000,237.4,7.3,17.0,15.5,15.8,1.22,false,0
nodo_chancay_01,2460000,231.7,7.37,12.2,15.2,16.8,1.19,false,0
nodo_chancay_01,2520000,228.8,7.36,17.5,15.9,16.7,1.19,false,0
nodo_chancay_01,2580000,227.0,7.48,17.2,15.4,16.4,1.27,false,0
nodo_chancay_01,2640000,215.2,7.2,15.4,15.7,16.0,1.22,false,0
nodo_chancay_01,2700000,222.8,7.38,12.7,15.6,15.9,1.21,false,0
nodo_chancay_01,2760000,225.4,7.38,15.8,15.6,16.9,1.19,false,0
nodo_chancay_01,2820000,240.6,7.34,19.7,15.4,16.4,1.19,false,0
nodo_chancay_01,2880000,233.4,7.3,16.3,15.4,16.5,1.21,false,0
nodo_chancay_01,2940000,212.4,7.5,19.0,15.5,16.9,1.17,false,0
nodo_chancay_01,3000000,233.2,7.59,8.1,15.3,16.3,1.15,false,0
nodo_chancay_01,3060000,226.1,7.22,15.3,15.6,16.3,1.22,false,0
nodo_chancay_01,3120000,223.2,7.3,12.6,15.5,16.8,1.25,false,0
nodo_chancay_01,3180000,236.1,7.29,18.9,15.6,15.1,1.25,false,0
nodo_chancay_01,3240000,240.3,7.36,17.7,15.4,15.7,1.22,false,0
nodo_chancay_01,3300000,239.3,7.52,12.4,15.5,17.2,1.19,false,0
nodo_chancay_01,3360000,221.6,7.44,15.8,15.4,15.9,1.24,false,0
nodo_chancay_01,3420000,226.9,7.37,14.3,15.4,16.3,1.25,false,0
nodo_chancay_01,3480000,233.3,7.39,17.0,15.2,15.7,1.21,false,0
nodo_chancay_01,3540000,239.8,7.36,16.7,15.6,16.0,1.24,false,0
nodo_chancay_01,3600000,225.2,7.46,15.3,15.4,16.0,1.14,false,0
nodo_chancay_01,3660000,228.1,7.48,8.3,15.7,16.4,1.21,false,0
nodo_chancay_01,3720000,218.9,7.45,22.4,15.6,16.2,1.21,false,0
nodo_chancay_01,3780000,218.0,7.17,20.3,15.2,16.0,1.18,false,0
nodo_chancay_01,3840000,238.1,7.39,15.4,15.1,16.0,1.19,false,0
nodo_chancay_01,3900000,243.6,7.37,17.6,15.6,15.5,1.23,false,0
nodo_chancay_01,3960000,229.3,7.49,18.0,15.4,16.5,1.21,false,0
nodo_chancay_01,4020000,240.0,7.41,11.5,15.4,16.1,1.22,false,0
nodo_chancay_01,4080000,233.6,7.45,21.2,15.8,15.7,1.23,false,0
nodo_chancay_01,4140000,223.5,7.34,4.8,15.5,15.6,1.22,false,0
nodo_chancay_01,4200000,233.6,7.48,6.5,15.6,16.7,1.21,false,0
nodo_chancay_01,4260000,245.4,7.51,11.4,15.5,16.1,1.22,false,0
nodo_chancay_01,4320000,229.6,7.23,16.7,15.6,15.9,1.16,false,0
nodo_chancay_01,4380000,245.6,7.26,15.7,15.2,16.2,1.23,false,0
nodo_chancay_01,4440000,203.8,7.47,15.4,15.3,16.6,1.21,false,0
nodo_chancay_01,4500000,238.2,7.37,14.6,15.7,17.4,1.22,false,0
nodo_chancay_01,4560000,230.9,7.49,13.4,15.3,15.3,1.2,false,0
nodo_chancay_01,4620000,227.0,7.41,8.6,15.6,15.9,1.21,false,0
nodo_chancay_01,4680000,230.9,7.46,8.1,15.3,16.2,1.23,false,0
nodo_chancay_01,4740000,210.1,7.32,8.6,15.2,15.9,1.15,false,0
nodo_chancay_01,4800000,227.8,7.42,9.5,15.6,16.1,1.13,false,0
nodo_chancay_01,4860000,233.6,7.42,7.9,15.2,16.3,1.23,false,0
nodo_chancay_01,4920000,244.8,7.32,7.8,15.3,15.9,1.2,false,0
nodo_chancay_01,4980000,224.8,7.49,13.6,15.3,16.2,1.14,false,0
nodo_chancay_01,5040000,221.9,7.2,20.3,15.4,15.6,1.18,false,0
nodo_chancay_01,5100000,225.0,7.41,17.2,15.2,15.7,1.21,false,0
nodo_chancay_01,5160000,239.2,7.26,10.4,15.4,16.4,1.2,false,0
nodo_chancay_01,5220000,233.3,7.29,11.5,15.5,16.3,1.2,false,0
nodo_chancay_01,5280000,224.7,7.49,24.5,15.4,16.6,1.21,false,0
nodo_chancay_01,5340000,235.1,7.28,12.5,15.3,16.3,1.18,false,0
nodo_chancay_01,5400000,231.0,7.28,9.6,15.8,16.5,1.16,false,0
nodo_chancay_01,5460000,239.7,7.45,13.6,15.6,16.0,1.22,false,0
nodo_chancay_01,5520000,223.0,7.28,12.2,15.4,15.5,1.24,false,0
nodo_chancay_01,5580000,226.7,7.49,10.7,14.8,15.6,1.2,false,0
